title,song
周杰伦：夜曲,﻿，夜曲 - 鲁瑾，一群嗜血的蚂蚁，被腐肉所吸引，我面无表情，看孤独的风景，失去你，爱恨开始分明，失去你，还有什么事好关心，当鸽子不再象征和平，我终于被提醒，广场上喂食的是秃鹰，我用漂亮的押韵，形容被掠夺一空的爱情，啊 乌云开始遮蔽，夜色不干净，公园里 葬礼的回音，在漫天飞行，送你的 白色玫瑰，在纯黑的环境凋零，乌鸦在树枝上，诡异的很安静，静静静听 我黑色的大衣，想温暖你，日渐冰冷的回忆，走过的 走过的 生命，啊 四周弥漫雾气，我在空旷的墓地，老去后还爱你，为你弹奏萧邦的夜曲，纪念我死去的爱情，跟夜风一样的声音，心碎的很好听，手在键盘敲很轻，我给的思念很小心，你埋葬的地方叫幽冥，为你弹奏萧邦的夜曲，纪念我死去的爱情，而我为你隐姓埋名，在月光下弹琴，对你心跳的感应，还是如此温热亲近，怀念你那鲜红的唇印，那些断翅的蜻蜓，散落在这森林，而我的眼睛，没有丝毫同情，失去你 泪水混浊不清，失去你，我连笑容都有阴影，风在长满青苔的屋顶，嘲笑我的伤心，像一口没有水的枯井，我用凄美的字型，描绘后悔莫及的那爱情，为你弹奏萧邦的夜曲，纪念我死去的爱情，跟夜风一样的声音，心碎的很好听，手在键盘敲很轻，我给的思念很小心，你埋葬的地方叫幽冥，为你弹奏萧邦的夜曲，纪念我死去的爱情，而我为你隐姓埋名，在月光下弹琴，对你心跳的感应，还是如此温热亲近，怀念你那鲜红的唇印，一群嗜血的蚂蚁，被腐肉所吸引，我面无表情，看孤独的风景，失去你，爱恨开始分明，失去你，还有什么事好关心，当鸽子不再象征和平，我终于被提醒，广场上喂食的是秃鹰，我用漂亮的押韵，形容被掠夺一空的爱情
布拉格广场,琴键上透着光，彩绘的玻璃窗，装饰着哥特式教堂，谁谁谁弹一段，一段流浪忧伤，顺着琴声方向，看见蔷薇依附，十八世纪的油画上，布拉格广场，，（RAP：在旁静静欣赏 　　在想你的浪漫 　　在看是否多久 都一样 　　A A Fu Shou 　　A A Fu Shou 　　Yap So So 　　Sorry 　　So So So 　　Moderato Yo 　　Andantino Yo 　　Portamento Yo 　　Fortissimo Yo 　　盗贼他偷走 　　修道士说no 　　梦醒来后我 　　一切都都没有 ），，我就站在布拉格黄昏的广场，在许愿池投下了希望，那群白鸽背对着夕阳，那画面太美我不敢看，布拉格的广场，无人的走廊，我一个人，跳着舞旋转，不远地方，你远远吟唱，没有我，你真的不习惯
说了再见,原唱：周杰伦，翻唱：刘瑞琦，，天亮了雨下了你走了，清楚了我爱的遗失了，落叶飘在湖面上睡着了，，想要放放不掉泪在飘，你看看你看看不到，我假装过去不重要，却发现自己办不到，说了再见才发现再也见不到，，我不能就这样失去你的微笑，口红待在桌脚而你我找不到，，若角色对调你说好不好，说了再见才发现再也见不到，，能不能就这样忍着痛泪不掉，说好陪我到老永恒往哪里找，，再次拥抱一分一秒都好，，天亮了雨下了你走了，清楚了我爱的遗失了，落叶飘在湖面上睡着了，，想要放放不掉泪在飘，你看看你看看不到，我假装过去不重要，却发现自己办不到，说了再见才发现再也见不到，，我不能就这样失去你的微笑，口红待在桌脚而你我找不到，，若角色对调你说好不好，，说再见才发现再也见不到，，能不能就这样忍着痛泪不掉，，说好陪我到老永恒往哪里找，再次拥抱一分一秒都好
天涯过客,演唱：双笙，原唱：周杰伦，作词：方文山，作曲：周杰伦，混音：Mr.鱼，PV：@N-Nerissa，，，风起雁南下，景萧萧 落黄沙，独坐沏壶茶，沏成一夜灯下，你在几里外的人家想着他，一针一线 绣着花，，晨霜攀黛瓦，抖落霜 冷了茶，抚琴欲对话 欲问琴声初落下，弦外思念透窗花，而你却什么也不回答，，琴弦断了 缘尽了 你也走了，爱恨起落 故事经过 只留下我，几番离愁 世事参透 都入酒，问你是否 心不在这 少了什么，，琴弦断了 缘已尽了 你也走了，你是过客 温柔到这沉默了，拱桥斜坡 水岸码头 谁记得，渡江扁舟 我伤依旧 临行回头，远方谁挥手，，古刹山岚绕 雾散后 北风高，禅定我寂寥 我身后风呼啸，笛声半山腰，而你在哪座桥，远远对他 在微笑，，亭外芦苇花 白茫茫，细雨轻轻打 秋风刮，将笔搁下 画不出 谁在潇洒，情愫竟短暂犹如，骚人墨客笔下的烟花，，琴弦断了 缘已尽了 你也走了，爱恨起落 故事经过 只留下我，门前竹瘦 清风折柳 你要走，风不停留 何苦绕来 摇晃灯火，，琴弦断了 缘已尽了 你也走了，你是过客 温柔到这 沉默了，轻解绳索 红尘放手 面对着，随我摆渡 离岸东流 蓦然回首，你在渡船口，，琴弦断了 缘尽了 你也走了，你是过客 温柔到这 沉默了，拱桥斜坡 水岸码头 谁记得，随我摆渡 离岸东流 蓦然回首，你在渡船口
可爱女人,原唱：周杰伦，翻唱：刘瑞琦，，想要有直升机，想要和你飞到宇宙去，想要和你融化在一起，融化在银河里，我每天每天每天在想想想想着你，这样的甜蜜，让我开始相信命运，感谢地心引力，让我碰到你，漂亮的让我面红的可爱女人，温柔的让我心疼的可爱女人，透明的让我感动的可爱女人，坏坏的让我疯狂的可爱女人，漂亮的让我面红的可爱女人，温柔的让我心疼的可爱女人，透明的让我感动的可爱女人，坏坏的让我疯狂的可爱女人，想要有直升机，想要和你飞到宇宙去，想要和你融化在一起，融化在银河里，我每天每天每天在想想想想着你，这样的甜蜜，让我开始相信命运，感谢地心引力，让我碰到你，漂亮的让我面红的可爱女人，温柔的让我心疼的可爱女人，透明的让我感动的可爱女人，坏坏的让我疯狂的可爱女人，漂亮的让我面红的可爱女人，温柔的让我心疼的可爱女人，透明的让我感动的可爱女人，坏坏的让我疯狂的可爱女人，世界这样大而我而我只是只小小小的蚂蚁，但我要尽全力全力全力保护你，漂亮的让我面红的可爱女人，温柔的让我心疼的可爱女人，透明的让我感动的可爱女人，坏坏的让我疯狂的可爱女人，漂亮的让我面红的可爱女人，温柔的让我心疼的可爱女人，透明的让我感动的可爱女人，坏坏的让我疯狂的可爱女人，漂亮的让我面红的可爱女人，温柔的让我心疼的可爱女人，透明的让我感动的可爱女人，坏坏的让我疯狂的可爱女人，漂亮的让我面红的可爱女人，温柔的让我心疼的可爱女人，透明的让我感动的可爱女人，坏坏的让我疯狂的可爱女人
轨迹（Cover周杰伦）,混音：品睿录音棚，微博：李瑨瑶瑶瑶瑶，，怎么隐藏　我的悲伤，失去你的地方，你的发香　散的匆忙，我已经跟不上，闭上眼睛　还能看见，你离去的痕迹，在月光下　一直找寻，那想念的身影，，如果说分手是苦痛的起点，那在终点之前，我愿意再爱一遍，想要对你说的，不敢说的爱，会不会有人可以明白，，我会发着呆　然后忘记你，接着紧紧闭上眼，想着那一天 会有人代替，让我不再想念你，，我会发着呆　然后微微笑，接着紧紧闭上眼，又想了一遍　你温柔的脸，在我忘记之前，，心里的眼泪，模糊了视线，你已快看不见
乌克丽丽,原唱：周杰伦，翻唱：刘瑞琦，，你就是海滩下的那乌克丽丽，寻找着逆光让暧昧变成剪影，浪漫不一定要在那夏威夷，沙滩上有你的脚印是一辈子美景，穿花衬衫要配上一把乌克丽丽，不然看起来会像流氓兄弟，穿西装要记得带个带个女伴，不然看起来会像泊车小弟，一般我是不会随便就载着花瓶兜风，我不是说你是个花瓶你你你别发疯，你说你很容易碎，让我来保护你，小心你的坏脾气，我说我刚好有一点耐心，你始终改变不了的任性，我当它是一种可爱的个性，你就是海滩下的那乌克丽丽，寻找着逆光让暧昧变成剪影，浪漫不一定要在那夏威夷，沙滩上有你的脚印是一辈子美景，别剪短你的发让它飘逸，刚好配上他的八块肌，别再不吃东西瘦到不行，乌克丽丽在你身上，就像一把放大的Guitar，迷人不一定要Bikini，你的笑容已经非常卡哇伊，想要度假不用去到Hawaii，椰子树刚好种在我家院子里，想要买醉（买醉）买醉（买醉），不一定要喝酒，一起干杯（干杯）干杯（干杯），用音乐来灌醉你，你就是海滩下的那乌克丽丽，寻找着逆光让暧昧变成剪影，浪漫不一定要在那夏威夷，沙滩上有你的脚印是一辈子美景，你就是海滩下的那乌克丽丽，寻找着逆光让暧昧变成剪影，浪漫不一定要在那夏威夷，沙滩上有你的脚印，是一辈子美景，你就是海滩下的那乌克丽丽，寻找着逆光让暧昧变成剪影，浪漫不一定要在那夏威夷，沙滩上有你的脚印是一辈子美景
瓦解,说着笑着的午后，钟声一直在停留，风声静静躺着在诱惑，我一个人在角落，没有你陪伴的我，连寂寞都笑我太堕落，弹头:广场旁边的烟囱，烟雾弥漫你面容，我悄悄背诵你的温柔，喝着加温后的啤酒，这样唯美的镜头，是否只存在故事之中，豪+弹:在你的身后，时间把过去都带走，时间把镜头带走，不假思索，回忆不放手，好想再跟你牵着手，牵着你给我的温柔，哭过以后眼泪，还是不停的流，，我一个人在角落，没有你陪伴的我，连寂寞都笑我太堕落，弹头:广场旁边的烟囱，烟雾弥漫你面容，我悄悄背诵你的温柔，喝着加温后的啤酒，这样唯美的镜头，是否只存在故事之中，在你身后，时间把画面都带走，时间把镜头带走，不假思索，回忆不放手，好想再跟你牵着手，牵着曾有过的温柔，哭过之后眼泪，还是不停的的流，遇见彩虹，雨下过之后，街角出现彩虹，泪流干之后，有彩虹
枫（Cover周杰伦）,混音：品睿录音棚，微博：李瑨瑶瑶瑶瑶，，乌云在我们心里搁下一块阴影，我聆听沉寂已久的心情，清晰透明，就像美丽的风景，总在回忆里才看的清，被伤透的心能不能够继续爱我，我用力牵起没温度的双手，过往温柔，已经被时间上锁，只剩挥散不去的难过，缓缓飘落的枫叶像思念，我点燃烛火温暖岁末的秋天，极光掠夺天边，北风掠过想你的容颜，我把爱烧成了落叶，却换不回熟悉的那张脸，缓缓飘落的枫叶像思念，为何挽回要赶在冬天来之前，爱你穿越时间，两行来自秋末的眼泪，让爱渗透了地面，我要的只是你在我身边，欢迎光临!!!，被伤透的心能不能够继续爱我，我用力牵起没温度的双手，过往温柔，已经被时间上锁，只剩挥散不去的难过，在山腰间飘逸的红雨，随着北风凋零，我轻轻摇曳风铃，想唤醒被遗弃的爱情，雪花已铺满了地，深怕窗外枫叶已结成冰，缓缓飘落的枫叶像思念，我点燃烛火温暖岁末的秋天，极光掠夺天边，北风掠过想你的容颜，我把爱烧成了落叶，却换不回熟悉的那张脸，缓缓飘落的枫叶像思念，为何挽回要赶在冬天来之前，爱你穿越时间，两行来自秋末的眼泪，让爱渗透了地面，我要的只是你在我身边
黑色毛衣,原唱：周杰伦，翻唱：刘瑞琦，，一件黑色毛衣二个人的回忆，雨过之后更难忘记，忘记我还爱你，你不用在意流泪也只是刚好而已，我早已经待在谷底，我知道不能再留住你，也知道不能没有骨气，感激你让我拥有秋天的美丽，看着那白色的蜻蜓，在空中忘了前进，还能不能重新编织，脑海中起毛球的记忆，再说我爱你可能雨也不会停，黑色毛衣藏在哪里，就让回忆永远停在那里，一件黑色毛衣二个人的回忆，雨过之后更难忘记，忘记我还爱你，你不用在意流泪也只是刚好而已，我早已经待在谷底，我知道不能再留住你，也知道不能没有骨气，感激你让我拥有秋天的美丽，看着那白色的蜻蜓，在空中忘了前进，还能不能重新编织，脑海中起毛球的记忆，再说我爱你可能雨也不会停，黑色毛衣藏在哪里，就让回忆永远停在那里，看着那白色的蜻蜓，在空中忘了前进，还能不能重新编织，脑海中起毛球的记忆，再说我爱你可能雨也不会停，黑色毛衣藏在哪里，就让回忆永远停在那里
半岛铁盒,原唱：周杰伦，翻唱：刘瑞琦，，走廊灯关上 书包放，走到房间窗外望，回想刚买的书，一本名叫半岛铁盒，放在床边堆好多，第一页第六页第七页序，我永远都想不到，陪我看这书的你会要走，不再是不再有，现在已经看不到，铁盒的钥匙孔，透了光看见它锈了好久，好旧好旧，外面的灰尘包围了我，好暗好暗，铁盒的钥匙我找不到，，放在糖果旁的，是我很想回忆的甜，，然而过滤了你和我，沦落而成美，沉在盒子里的是你，给我的快乐，我很想记得可是我记不得，为什么这样子，你拉着我 说你有些犹豫，怎么这样子，雨还没停你就撑伞要走，已经习惯不去阻止你，过好一阵子你就会回来，，印象中的爱情，好像顶不住那时间，为什么这样子，你看着我说你已经决定，我拉不住你，他的手应该比我更暖，铁盒的序变成了日记，变成了空气 演化成回忆，，印象中的爱情，好像顶不住那时间，所以你弃权，，走廊灯关上 书包放，走到房间窗外望，回想刚买的书，一本名叫半岛铁盒，放在床 边堆好多，第一页第六页第七页序，我永远都想不到，陪我看这书的你会要走，不再是不再有，现在已经看不到，铁盒的钥匙孔 透了光，看见它锈了好久，好旧好旧，外围的灰尘包围了我，好暗好暗，铁盒的钥匙我找不到，，放在糖果旁的，是我很想回忆的甜，，然而过滤了你和我，沦落而成美，沉在盒子里的是你，给我的快乐，我很想记得可是我记不得，，为什么这样子，，你拉着我说你有些犹豫，怎么这样子，，雨还没停你就撑伞要走，已经习惯不去阻止你，过好一阵子你就会回来，，印象中的爱情，好像顶不住那时间，为什么这样子，你拉着我 说你有些犹豫，怎么这样子，，雨还没停你就撑伞要走，已经习惯不去阻止你，过好一阵子你就会回来，，印象中的爱情，好像顶不住那时间，为什么这样子，你看着我说你已经决定，我拉不住你，他的手应该比我更暖，，的序变成了日记，变成了空气 演化成回忆，，印象中的爱情，好像顶不住那时间，所以你弃权
告白气球（周杰伦cover）,亲爱的 爱上你 从那天起，《告白气球》纯人声版，翻唱：寻声人声乐团，，塞纳河畔 左岸的咖啡，我手一杯 品尝你的美，留下唇印的嘴，花店玫瑰 名字写错谁，告白气球 风吹到对街，微笑在天上飞，你说你有点难追，想让我知难而退，礼物不需挑最贵，只要香榭的落叶，营造浪漫的约会，不害怕搞砸一切，拥有你就拥有全世界，亲爱的 爱上你 从那天起，甜蜜的很轻易，亲爱的 别任性 你的眼睛，在说我愿意，，微博@寻声人声乐团，，塞纳河畔 左岸的咖啡，我手一杯 品尝你的美，留下唇印的嘴，花店玫瑰 名字写错谁，告白气球 风吹到对街，微笑在天上飞，你说你有点难追，想让我知难而退，礼物不需挑最贵，只要香榭的落叶，营造浪漫的约会，不害怕搞砸一切，拥有你就拥有全世界，，塞纳河畔 左岸的咖啡，我手一杯 品尝你的美，花店玫瑰 名字写错谁，告白气球 风吹到对街，我说我有点难追，你还不知难而退，礼物只挑最贵，不要香榭的落叶，营造浪漫的约会，不害怕搞砸一切，因为你就是我的全世界，，亲爱的 爱上你 从那天起，甜蜜的很轻易，亲爱的 爱上你 从那天起，甜蜜的很轻易，一整瓶 的梦境 全都有你，搅拌在一起，亲爱的别任性 你的眼睛，在说我愿意，莫负好春光，赶紧牵手吧！
安静（Cover 周杰伦）,安静 (Cover 周杰伦) - 「么凹」，只剩下钢琴陪我，弹了一天，睡着的大提琴，安静的旧旧的，我想你已表现的非常明白，我懂我也知道，你没有舍不得，你说你也会难过我不相信，牵着你陪着我，也只是曾经，希望他是真的，比我还要爱你，我才会逼自己离开，你要我说多难堪，我根本不想分开，为什么还要我用微笑来带过，我没有这种天份，包容你也接受他，不用担心的太多，我会一直好好过，你已经远远离开，我也会慢慢走开，为什么我连分开都迁就着你，我真的没有天份，安静的没这么快，我会学着放弃你，是因为我太爱你
告白气球,混音：爱的雪人，，塞纳河畔 左岸的咖啡，我手一杯 品尝你的美，留下唇印的嘴，留下唇印的嘴，花店玫瑰 名字写错谁，告白气球 风吹到对街，微笑在天上飞，你说你有点难追 想让我知难而退，礼物不需挑最贵 只要香榭的落叶，营造浪漫的约会 不害怕搞砸一切，拥有你就拥有 全世界，亲爱的 爱上你 从那天起，甜蜜的很轻易，亲爱的 别任性 你的眼睛，在说我愿意，，塞纳河畔 左岸的咖啡，我手一杯 品尝你的美，留下唇印的嘴，留下唇印的嘴，花店玫瑰 名字写错谁，告白气球 风吹到对街，微笑在天上飞，你说你有点难追 想让我知难而退，礼物不需挑最贵 只要香榭的落叶，营造浪漫的约会 不害怕搞砸一切，拥有你就拥有 全世界，亲爱的 爱上你 从那天起，甜蜜的很轻易，亲爱的 别任性 你的眼睛，在说我愿意，亲爱的 爱上你 恋爱日记，飘香水的回忆，一整瓶 的梦境 全都有你，搅拌在一起，亲爱的别任性 你的眼睛，在说我愿意
回到过去,
"你好, 周杰伦",安又琪－你好，周杰伦，作词：文雅作曲：谭伊哲，范特西叶惠美七里香，你的唱片我每一张都会去买，ah 你在南我在北，我们都是吃麦当劳长大的一代，ah 小眼睛大明星，你不知道你迷倒了多少女孩，周杰伦，你的音乐太独特到自成一派，hello最近好吗周杰伦，哼哼哈hi唱着双节棍，你是一场音乐龙卷风，(china asia universal)，hello最近好吗周杰伦，借着西风就能破东风，谁会是你的可爱女人，(landy jolin vivian)，在你身体在你脑袋藏着一个音乐妖怪他们都说你是天才周杰伦，中国外国古代现代神话传说游戏运动歌曲创意天马行空周杰伦，爷爷外婆爸爸妈妈同学朋友都已被你信手拿来写到歌里周杰伦，人们都猜你会不会江郎才尽我还对你一如既往保持期待周杰伦，，范特西叶惠美七里香，你的压力来自内心还是身外，ah 你在南我在北，音乐是你我的最爱无法取代，ah 小眼睛大明星，虽然你得到好多人狂热崇拜，周杰伦，你是否也有难言的无奈悲哀，hello最近好吗周杰伦，哼哼哈hi唱着双节棍，你是一场音乐龙卷风，(china asia universal)，hello最近好吗周杰伦，借着西风就能破东风，谁会是你的可爱女人，(landy jolin vivian)，今天我也发了唱片终于能够站在从小就在想往梦想舞台周杰伦，唱这首歌为了表达我对你的无限喜爱希望有天你能听到周杰伦，如果有天我们能够相遇后台我一定会面对着面说声你好周杰伦，我们都要继续努力继续奋斗继续精彩这样才会不被淘汰周杰伦，在你身体在你脑袋藏着一个音乐妖怪他们都说你是天才周杰伦，中国外国古代现代神话传说游戏运动歌曲创意天马行空周杰伦，爷爷外婆爸爸妈妈同学朋友都已被你信手拿来写到歌里周杰伦，人们都猜你会不会江郎才尽我还对你一如既往保持期待周杰伦，，范特西叶惠美七里香，你的唱片我每一张都会去买，ah 你在南我在北，我们都是吃麦当劳长大的一代，ah 小眼睛大明星，你不知道你迷倒了多少女孩，周杰伦，周杰伦 haha
晴天（Cover周杰伦）,原唱：周杰伦，，故事的小黄花，从出生那年就飘着，童年的荡秋千，随记忆一直晃到现在，rui sou sou xi dou xi la，sou la xi xi xi xi la xi la sou，吹着前奏望着天空，我想起花瓣试着掉落，为你翘课的那一天，花落的那一天，教室的那一间，我怎么看不见，消失的下雨天，我好想再淋一遍，没想到失去的勇气我还留着，好想再问一遍，你会等待还是离开，刮风这天 我试过握着你手，但偏偏 雨渐渐 大到我看你不见，还要多久 我才能在你身边，等到放晴的那天也许我会比较好一点，从前从前 有个人爱你很久，但偏偏 风渐渐 把距离吹得好远，好不容易 又能再多爱一天，但故事的最后你好像还是说了拜拜，，为你翘课的那一天，花落的那一天，教室的那一间，我怎么看不见，消失的下雨天，我好想再淋一遍，没想到失去的勇气我还留着，好想再问一遍，你会等待还是离开，刮风这天我试过握着你手，但偏偏 雨渐渐 大到我看你不见，还要多久 我才能在你身边，等到放晴的那天也许我会比较好一点，从前从前 有个人爱你很久，偏偏 风渐渐把距离吹得好远，好不容易 又能再多爱一天，但故事的最后你好像还是说了拜拜
世界末日（Cover 周杰伦）,﻿，世界末日 - 「么凹」，想笑 来伪装掉下的眼泪，点点头 承认自己会怕黑，我只求 能借一点的时间来陪，你却连同情都不给，想哭 来试探自己麻痹了没，全世界 好像只有我疲惫，无所谓 反正难过就敷衍走一回，但愿绝望和无奈远走高飞，天灰灰 会不会，让我忘了你是谁，夜越黑 梦违背，难追难回味，我的世界将被摧毁，也许事与愿违，累不累 睡不睡，单影无人相依偎，夜越黑 梦违背，有谁肯安慰，我的世界将被摧毁，也许颓废也是另一种美
回到过去（Cover 周杰伦）,一盏黄黄旧旧的灯，时间在旁闷不吭声，寂寞下手毫无分寸，不懂得轻重之分，沉默支撑跃过陌生，静静看着凌晨黄昏，，你的身影，失去平衡，慢慢下沉，黑暗已在空中盘旋，该往哪我看不见，也许爱在梦的另一端，无法存活在真实的空间，想回到过去，试着抱你在怀里，羞怯的脸带有一点稚气，想看你看的世界，想在你梦的画面，只要靠在一起，就能感觉甜蜜，想回到过去，试着让故事继续，至少不再让你离我而去，分散时间的注意，这次会抱得更紧，这样挽留不知，还来不来得及，想回到过去，思绪不断，阻挡着回忆播放，盲目的追寻，仍然空空荡荡，灰蒙蒙的夜晚，睡意又不知躲到哪去，一转身孤单，已躺在身旁，想回到过去，试着抱你在怀里，羞怯的脸带有一点稚气，想看你看的世界，想在你梦的画面，只要靠在一起，就能感觉甜蜜，想回到过去，试着让故事继续，至少不再让你离我而去，分散时间的注意，这次会抱得更紧，这样挽留不知，还来不来得及，想回到过去，沉默支撑跃过陌生，静静看着凌晨黄昏，你的身影，失去平衡，慢慢下沉，想回到过去
彩虹 (Cover周杰伦),哪里有彩虹告诉我，能不能把我的愿望还给我，为什么天这么安静，所有的云都跑到我这里，有没有口罩一个给我，释怀说了太多就成真不了，也许时间是一种解药，也是我现在正服下的毒药，看不见你的笑 我怎么睡得着，你的身影这么近我却抱不到，没有地球太阳还是会绕，没有理由我也能自己走，你要离开 我知道很简单，你说依赖 是我们的阻碍，就算放开 那能不能别没收我的爱，当作我最后才明白，有没有口罩一个给我，释怀说了太多就成真不了，也许时间是一种解药，也是我现在正服下的毒药，看不见你的笑 我怎么睡得着，你的身影这么近我却抱不到，没有地球太阳还是会绕，没有理由我也能自己走，你要离开 我知道很简单，你说依赖 是我们的阻碍，就算放开 那能不能别没收我的爱，当作我最后才明白，看不见你的笑，要我怎么睡得着，你的身影这么近我却抱不到，没有地球太阳开始环绕环绕，没有理由我也能自己走掉，是我说了太多就成真不了，也许时间是一种解药解药，也是我现在正服下的毒药，你要离开 我知道很简单，你说依赖 是我们的阻碍，就算放开 那能不能别没收我的爱，当作我最后才明白
给我一首歌的时间,原唱：周杰伦，翻唱：刘瑞琦，，雨淋湿了天空 毁得很讲究，你说你不懂 为何在这时牵手，我晒干了沉默 悔得很冲动，就算这是做错 也只是怕错过，在一起叫梦 分开了叫痛，是不是说 没有做完的梦最痛，迷路的后果 我能承受，这最后的出口 在爱过了才有，能不能给我一首歌的时间，紧紧的把那拥抱变成永远，在我的怀里你不用害怕失眠，哦 如果你想忘记我也能失忆，能不能给我一首歌的时间，把故事听到最后才说再见，你送我的眼泪 让它留在雨天，哦 越过你划的线我定了勇气 的终点，，雨淋湿了天空 毁得很讲究，你说你不懂 我为何在这时牵手，我晒干了沉默 悔得很冲动，就算这是做错 也只是怕错过，在一起叫梦 分开了叫痛，是不是说 没有做完的梦最痛，迷路的后果 我能承受，这最后的出口 在爱过了才有，能不能给我一首歌的时间，紧紧的把那拥抱变成永远，在我的怀里你不用害怕失眠，哦 如果你想忘记我也能失忆，能不能给我一首歌的时间，把故事听到最后才说再见，你送我的眼泪 让它留在雨天，哦 越过你划的线我定了勇气 的终点，，你说我不该不该 不该在这时候说了我爱你，要怎么证明我没有说谎的力气 请告诉我，暂停算不算放弃 我只有一天的回忆，哦 能不能给我一首歌的时间，紧紧的把那拥抱变成永远，在我的怀里你不用害怕失眠，哦 如果你想忘记我也能失忆，能不能给我一首歌的时间，把故事听到最后才说再见，你送我的眼泪 让它留在雨天，哦 越过你划的线我定了勇气 的终点，，雨淋湿了天空 毁得很讲究，你说你不懂 我为何在这时牵手
七里香,原唱：周杰伦，翻唱：刘瑞琦，，窗外的麻雀，在电线杆上多嘴，你说这一句，很有夏天的感觉，手中的铅笔，在纸上来来回回，我用几行字，形容你是我的谁，，秋刀鱼的滋味，猫跟你都想了解，初恋的香味，就这样被我们寻回，那温暖的阳光，像刚摘的鲜艳草莓，你说你舍不得吃掉，这一种感觉，，雨下整夜，我的爱溢出就像雨水，院子落叶，跟我的思念厚厚一叠，几句是非，也无法将我的热情冷却，你出现在我诗的每一页，，雨下整夜，我的爱溢出就像雨水，窗台蝴蝶，像诗里纷飞的美丽章节，我接着写，把永远爱你，写进诗的结尾，你是我唯一想要的了解，，雨下整夜，我的爱溢出就像雨水，院子落叶，跟我的思念厚厚一叠，几句是非，也无法将我的热情冷却，你出现在我诗的每一页，，那饱满的稻穗，幸福了这个季节，而你的脸颊，像田里熟透的蕃茄，你突然对我说，七里香的名字很美，我此刻却只想亲吻，你倔强的嘴，，雨下整夜，我的爱溢出就像雨水，院子落叶，跟我的思念厚厚一叠，几句是非，也无法将我的热情冷却，你出现在我诗的每一页，，整夜，我的爱溢出就像雨水，窗台蝴蝶，像诗里纷飞的美丽章节，我接着写，把永远爱你，写进诗的结尾，你是我唯一想要的了解
星晴 (Live),选自：『张学友 活出生命 Live 演唱会』，曲：周杰伦 词：周杰伦，，乘着风 飘荡在蓝天边，一片云掉落在我面前，捏成你的形状，随风跟着我，一口一口吃掉忧愁，载着你 彷彿载着阳光，不管到哪里都是晴天，蝴蝶自在飞，花也布满天，一朵一朵因你而香，试图让夕阳飞翔，带领你我环绕大自然，迎着风 开始共渡每一天，手牵手 一步两步三步四步 望着天，看星星 一颗两颗三颗四颗 连成线，背着背默默许下心愿，看远方的星是否听的见，手牵手 一步两步三步四步 望着天，看星星 一颗两颗三颗四颗 连成线，背着背默默许下心愿，看远方的星如果听的见，它一定实现，，载着你 彷彿载着阳光，不管到哪里都是晴天，蝴蝶自在飞，花也布满天，一朵一朵因你而香，试图让夕阳飞翔，带领你我环绕大自然，迎着风 开始共渡每一天，手牵手 一步两步三步四步 望着天，看星星 一颗两颗三颗四颗 连成线，背着背默默许下心愿，看远方的星是否听的见，手牵手 一步两步三步四步 望着天，看星星 一颗两颗三颗四颗 连成线，背着背默默许下心愿，看远方的星如果听的见，它一定实现
最长的电影,原唱：周杰伦，翻唱：刘瑞琦，，我们的开始是很长的电影，放映了三年我票都还留着，冰上的芭蕾脑海中还在旋转，望着你慢慢忘记你，朦胧的时间我们溜了多远，冰刀画的圈圈起了谁改变，如果再重来会不会稍嫌狼狈，爱是不是不开口才珍贵，再给我两分钟，让我把记忆结成冰，别融化了眼泪，你妆都花了要我怎么记得，记得你叫我忘了吧，记得你叫我忘了吧，你说你会哭不是因为在乎，朦胧的时间我们溜了多远，冰刀画的圈圈起了谁改变，如果再重来会不会稍嫌狼狈，爱是不是不开口才珍贵，再给我两分钟，让我把记忆结成冰，别融化了眼泪，你妆都花了要我怎么记得，记得你叫我忘了吧，记得你叫我忘了吧，你说你会哭不是因为在乎，再给我两分钟，让我把记忆结成冰，别融化了眼泪，你妆都花了要我怎么记得，记得你叫我忘了吧，记得你叫我忘了吧，你说你会哭不是因为在乎
简单爱,原唱：周杰伦，翻唱：刘瑞琦，，说不上为什麽我变得很主动，若爱上一个人什麽都会值得去做，我想大声宣布对你依依不舍，连隔壁邻居都猜到我现在的感受，河边的风在吹着头发飘动，牵着你的手一阵莫名感动，我想带你回我的外婆家，一起看着日落一直到我们都睡着，我想就这样牵着你的手不放开，爱能不能够永远单纯没有悲哀，我想带你骑单车我想和你看棒球，想这样没担忧唱着歌一直走，我想就这样牵着你的手不放开，爱可不可以简简单单没有伤害，你靠着我的肩膀你在我胸口睡着，像这样的生活我爱你你爱我，想简简单单爱，想简简单单爱，我想大声宣布对你依依不舍，连隔壁邻居都猜到我现在的感受，河边的风在吹着头发飘动，牵着你的手一阵莫名感动，我想带你回我的外婆家，一起看着日落一直到我们都睡着，我想就这样牵着你的手不放开，爱能不能够永远单纯没有悲哀，我想带你骑单车我想和你看棒球，想这样没担忧唱着歌一直走，我想就这样牵着你的手不放开，爱可不可以简简单单没有伤害，你靠着我的肩膀你在我胸口睡着，像这样的生活我爱你你爱我，想简简单单爱，想简简单单爱，我想就这样牵着你的手不放开，爱能不能够永远单纯没有悲哀，我想带你骑单车我想和你看棒球，想这样没担忧唱着歌一直走，我想就这样牵着你的手不放开，爱可不可以简简单单没有伤害，你靠着我的肩膀你在我胸口睡着，像这样的生活我爱你你爱我
